person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
23.0,female,High School,16916.0,2,MORTGAGE,1400.0,EDUCATION,9.25,0.0827618822416647,4.0,615,No,0
21.0,male,Master,16664.0,0,OWN,4500.0,VENTURE,12.98,0.27004320691310607,4.0,601,No,1
23.0,male,High School,17755.0,1,OWN,4000.0,DEBTCONSOLIDATION,11.01,0.22528865108420162,3.0,580,No,1
21.0,male,Master,18008.0,0,OWN,3000.0,HOMEIMPROVEMENT,11.01,0.16659262549977788,4.0,635,No,1
22.0,female,Bachelor,18152.0,0,OWN,4000.0,MEDICAL,10.99,0.22036139268400176,3.0,585,No,1
24.0,male,Bachelor,18294.0,2,OWN,6000.0,PERSONAL,7.49,0.3279763857002296,3.0,587,No,1
25.0,male,High School,18449.0,1,OWN,5375.0,EDUCATION,5.79,0.29134370426581385,2.0,645,No,1
21.0,male,Bachelor,18064.0,0,OWN,6250.0,VENTURE,14.72,0.34599202834366694,2.0,580,No,1
21.0,female,High School,18421.0,1,MORTGAGE,1500.0,MEDICAL,11.01,0.08142880408229738,4.0,623,No,0
23.0,male,Master,18512.0,1,OWN,4000.0,HOMEIMPROVEMENT,16.7,0.21607605877268798,2.0,566,No,1
22.0,male,Master,18367.0,0,OWN,2100.0,PERSONAL,11.14,0.11433549300375674,4.0,583,No,0
23.0,male,Master,18831.0,0,MORTGAGE,6000.0,DEBTCONSOLIDATION,11.01,0.3186235462800701,4.0,667,No,1
21.0,male,Associate,18916.0,0,OWN,6200.0,HOMEIMPROVEMENT,7.9,0.32776485514908016,2.0,615,No,1
23.0,female,Master,19000.0,2,OWN,4475.0,MEDICAL,11.01,0.2355263157894737,4.0,647,No,1
23.0,female,Bachelor,19175.0,1,MORTGAGE,1750.0,MEDICAL,12.68,0.09126466753585398,3.0,587,Yes,0
23.0,male,High School,19062.0,2,OWN,4000.0,DEBTCONSOLIDATION,13.98,0.20984156961494072,4.0,667,No,1
23.0,female,Associate,18926.0,0,OWN,4600.0,VENTURE,10.99,0.2430518862939871,2.0,688,No,1
25.0,male,High School,19158.0,4,OWN,1750.0,HOMEIMPROVEMENT,15.31,0.09134565194696732,4.0,625,Yes,0
23.0,male,High School,19065.0,3,MORTGAGE,3600.0,PERSONAL,13.47,0.1888276947285602,4.0,540,No,1
21.0,male,Master,18773.0,0,OWN,3175.0,HOMEIMPROVEMENT,11.54,0.16912587226335696,3.0,686,No,1
21.0,female,Associate,19169.0,2,MORTGAGE,1500.0,EDUCATION,10.59,0.0782513433147269,2.0,537,Yes,0
23.0,female,Associate,19312.0,4,MORTGAGE,2800.0,PERSONAL,8.49,0.14498757249378624,3.0,661,No,1
22.0,female,Master,18923.0,0,OWN,2500.0,HOMEIMPROVEMENT,12.53,0.1321143581884479,3.0,618,No,1
25.0,female,Master,161894.0,0,RENT,5000.0,MEDICAL,16.49,0.03088440584580034,2.0,609,No,1
21.0,female,High School,19414.0,2,OWN,1000.0,VENTURE,7.29,0.051509220150406924,4.0,681,Yes,0
24.0,male,Associate,19677.0,3,OWN,3300.0,HOMEIMPROVEMENT,6.39,0.16770849214819333,4.0,637,No,1
25.0,male,High School,19423.0,3,OWN,3200.0,VENTURE,18.09,0.16475312773515935,2.0,586,No,1
23.0,male,Associate,20044.0,3,OWN,6000.0,MEDICAL,7.9,0.29934144881261227,2.0,618,No,1
23.0,female,Bachelor,20401.0,4,MORTGAGE,2275.0,DEBTCONSOLIDATION,13.06,0.11151414146365374,4.0,573,Yes,0
23.0,female,High School,20421.0,0,MORTGAGE,5600.0,MEDICAL,12.84,0.2742275108956466,4.0,587,No,1
24.0,male,Master,20353.0,2,OWN,3625.0,VENTURE,17.14,0.17810642165774088,2.0,648,No,1
22.0,male,Master,20297.0,0,MORTGAGE,5500.0,VENTURE,7.14,0.2709760063063507,3.0,687,No,1
22.0,female,High School,20405.0,0,OWN,2000.0,PERSONAL,12.42,0.098015192354815,3.0,590,Yes,0
25.0,male,Associate,20221.0,5,OWN,5000.0,PERSONAL,8.94,0.24726769200336285,4.0,572,No,1
23.0,male,Bachelor,20678.0,0,OWN,4375.0,VENTURE,9.63,0.2115775220040623,4.0,528,No,1
22.0,male,High School,20896.0,0,MORTGAGE,2000.0,EDUCATION,10.65,0.09571209800918837,2.0,596,No,0
25.0,male,Master,152227.0,2,MORTGAGE,10000.0,MEDICAL,14.09,0.06569136881105192,4.0,639,No,1
24.0,male,Bachelor,21627.0,0,MORTGAGE,3900.0,DEBTCONSOLIDATION,11.01,0.18033014287695937,3.0,636,No,1
22.0,male,Associate,21205.0,0,MORTGAGE,4750.0,HOMEIMPROVEMENT,13.85,0.22400377269511906,2.0,658,No,1
21.0,male,High School,21363.0,2,MORTGAGE,6000.0,VENTURE,10.39,0.2808594298553574,4.0,671,No,1
22.0,female,Associate,22107.0,4,MORTGAGE,2250.0,EDUCATION,15.27,0.10177771746505632,3.0,636,Yes,0
22.0,female,Bachelor,21790.0,0,MORTGAGE,1000.0,VENTURE,11.36,0.04589261128958238,2.0,686,Yes,0
22.0,female,Associate,21824.0,0,MORTGAGE,4975.0,EDUCATION,11.01,0.2279600439882698,3.0,588,No,1
22.0,male,High School,22364.0,4,OWN,3000.0,PERSONAL,7.9,0.1341441602575568,4.0,672,No,1
22.0,female,High School,22616.0,0,OWN,2000.0,VENTURE,11.49,0.08843296781039972,3.0,567,No,0
22.0,female,Associate,22867.0,3,OWN,3500.0,HOMEIMPROVEMENT,7.49,0.15305899330913544,4.0,647,No,1
23.0,female,Master,22583.0,1,OWN,4000.0,EDUCATION,5.99,0.17712438559978744,2.0,645,No,1
21.0,female,Master,22882.0,0,OWN,4900.0,HOMEIMPROVEMENT,14.54,0.21414212044401712,4.0,674,No,1
21.0,female,Bachelor,22392.0,0,OWN,5000.0,EDUCATION,11.11,0.22329403358342265,2.0,594,No,1
24.0,male,Associate,22635.0,3,OWN,6250.0,HOMEIMPROVEMENT,6.54,0.276121051468964,4.0,602,No,1
23.0,male,Bachelor,22957.0,1,MORTGAGE,2500.0,MEDICAL,15.95,0.1088992464172148,2.0,594,No,1
21.0,male,Bachelor,22366.0,0,OWN,6250.0,VENTURE,10.62,0.2794420101940445,4.0,637,No,1
21.0,male,Bachelor,22673.0,0,OWN,2500.0,PERSONAL,11.36,0.11026330878136992,3.0,670,Yes,0
22.0,male,Bachelor,22564.0,1,OWN,4000.0,MEDICAL,11.01,0.17727353306151392,2.0,684,No,1
22.0,male,Bachelor,22786.0,0,OWN,5400.0,MEDICAL,15.31,0.23698762397963663,2.0,647,No,1
25.0,male,High School,22450.0,4,MORTGAGE,4000.0,MEDICAL,11.01,0.17817371937639198,3.0,580,No,1
21.0,female,Bachelor,22666.0,0,OWN,3375.0,VENTURE,11.01,0.1489014382775964,2.0,630,No,1
25.0,female,Master,68579.0,1,RENT,23000.0,EDUCATION,11.01,0.33537963516528385,2.0,665,No,1
23.0,female,Bachelor,73014.0,0,RENT,23000.0,VENTURE,12.18,0.31500808064206864,4.0,668,No,1
24.0,female,Bachelor,22608.0,2,MORTGAGE,1200.0,VENTURE,11.34,0.05307855626326964,4.0,615,Yes,0
25.0,female,High School,76932.0,2,RENT,23000.0,EDUCATION,9.91,0.29896532002287735,3.0,604,No,1
24.0,male,High School,78955.0,1,RENT,23000.0,HOMEIMPROVEMENT,11.99,0.29130517383319615,4.0,620,No,1
23.0,male,Master,82567.0,0,RENT,23000.0,EDUCATION,9.62,0.2785616529606259,2.0,558,No,1
22.0,male,Bachelor,22466.0,0,OWN,3000.0,DEBTCONSOLIDATION,9.96,0.1335351197364907,3.0,603,No,1
25.0,male,Bachelor,97251.0,2,RENT,23000.0,VENTURE,11.01,0.2365014241498802,2.0,683,Yes,0
24.0,male,Associate,106607.0,1,RENT,23000.0,VENTURE,14.54,0.21574568274128342,2.0,641,No,1
22.0,male,Bachelor,71385.0,0,RENT,22750.0,MEDICAL,11.36,0.31869440358618756,4.0,521,No,1
23.0,female,Bachelor,84865.0,3,RENT,22500.0,DEBTCONSOLIDATION,14.27,0.2651269663583338,2.0,655,No,1
24.0,male,Bachelor,22789.0,1,OWN,3000.0,HOMEIMPROVEMENT,11.99,0.13164245908113564,3.0,663,No,1
26.0,female,Bachelor,84801.0,4,RENT,22500.0,EDUCATION,18.99,0.26532705982240773,2.0,605,No,1
24.0,male,Bachelor,88421.0,4,RENT,22400.0,VENTURE,16.7,0.2533334841270739,4.0,708,No,1
24.0,male,High School,23071.0,3,MORTGAGE,5000.0,PERSONAL,9.32,0.21672229205496077,3.0,571,No,1
25.0,male,Bachelor,63311.0,1,RENT,22000.0,PERSONAL,10.74,0.34749095733758745,2.0,689,No,1
21.0,male,Bachelor,23597.0,0,MORTGAGE,4200.0,PERSONAL,14.11,0.17798872738059923,4.0,675,No,1
22.0,female,High School,69308.0,1,RENT,22000.0,EDUCATION,9.63,0.3174236740347435,3.0,591,No,1
25.0,female,High School,70598.0,5,RENT,22000.0,MEDICAL,14.65,0.3116235587410408,2.0,616,No,1
23.0,female,High School,73044.0,0,RENT,22000.0,DEBTCONSOLIDATION,10.25,0.3011883248452987,4.0,640,No,1
24.0,male,Bachelor,73043.0,0,RENT,22000.0,VENTURE,14.26,0.3011924482838876,2.0,593,No,1
25.0,female,Bachelor,23627.0,4,MORTGAGE,3000.0,EDUCATION,9.91,0.12697337791509714,2.0,649,No,1
26.0,male,Bachelor,68198.0,4,RENT,22000.0,MEDICAL,17.19,0.3225901052816798,3.0,645,No,1
22.0,female,High School,85089.0,0,RENT,22000.0,EDUCATION,11.36,0.25855280941132225,4.0,537,No,1
22.0,female,Bachelor,80358.0,0,RENT,22000.0,EDUCATION,11.01,0.273774857512631,2.0,635,No,1
23.0,female,Bachelor,90025.0,0,RENT,22000.0,DEBTCONSOLIDATION,10.59,0.24437656206609276,3.0,640,Yes,0
24.0,female,Master,93232.0,2,RENT,22000.0,EDUCATION,9.25,0.23597048223785824,2.0,625,No,0
22.0,female,Master,23497.0,0,OWN,3625.0,MEDICAL,8.49,0.15427501383155295,3.0,557,No,1
26.0,male,Associate,93314.0,8,RENT,22000.0,VENTURE,6.54,0.2357631223610605,3.0,643,No,0
21.0,female,Associate,23543.0,0,OWN,6000.0,MEDICAL,8.49,0.2548528224950091,3.0,631,No,1
24.0,male,Bachelor,97038.0,0,RENT,22000.0,MEDICAL,11.01,0.22671530740534637,4.0,653,Yes,0
26.0,female,Associate,100246.0,1,RENT,22000.0,VENTURE,12.69,0.2194601280849111,2.0,623,Yes,0
24.0,female,Bachelor,23667.0,3,OWN,7400.0,MEDICAL,13.85,0.31267165251193646,2.0,662,No,1
25.0,male,Associate,23719.0,2,OWN,4000.0,DEBTCONSOLIDATION,7.4,0.16864117374256926,3.0,667,No,1
23.0,male,High School,101575.0,1,RENT,22000.0,DEBTCONSOLIDATION,11.71,0.21658872754122568,4.0,586,No,0
25.0,female,Master,94168.0,3,RENT,22000.0,PERSONAL,11.48,0.23362501061931867,3.0,719,No,1
25.0,male,Master,99394.0,1,RENT,22000.0,EDUCATION,17.51,0.2213413284504095,2.0,646,No,1
21.0,male,High School,23504.0,0,MORTGAGE,3500.0,DEBTCONSOLIDATION,14.61,0.14891082368958475,3.0,646,No,1
23.0,male,Bachelor,120500.0,3,RENT,22000.0,DEBTCONSOLIDATION,7.88,0.1825726141078838,4.0,646,No,0
23.0,female,Bachelor,133195.0,1,RENT,22000.0,PERSONAL,11.01,0.16517136529148993,3.0,643,Yes,0
22.0,male,Bachelor,24148.0,1,MORTGAGE,4950.0,PERSONAL,11.71,0.20498592015901937,2.0,594,No,1
25.0,male,Bachelor,69353.0,1,RENT,21700.0,PERSONAL,11.99,0.3128920162069413,2.0,664,No,1
24.0,male,High School,65946.0,0,RENT,21600.0,VENTURE,13.49,0.3275407151305614,2.0,605,No,1
26.0,female,Associate,76687.0,3,RENT,21600.0,DEBTCONSOLIDATION,14.35,0.28166442812993076,3.0,655,No,1
22.0,female,Bachelor,99087.0,0,RENT,21600.0,PERSONAL,13.61,0.21799025099155286,3.0,597,No,0
22.0,male,High School,94523.0,0,RENT,21600.0,DEBTCONSOLIDATION,11.26,0.22851581096664303,3.0,679,No,1
22.0,female,High School,24092.0,0,OWN,2400.0,VENTURE,10.59,0.09961813049975095,3.0,654,No,0
24.0,female,Bachelor,135365.0,1,RENT,21600.0,MEDICAL,7.9,0.15956857385587117,2.0,556,No,0
24.0,male,Associate,24420.0,2,MORTGAGE,7000.0,HOMEIMPROVEMENT,5.99,0.28665028665028663,4.0,694,No,1
25.0,male,High School,23948.0,3,OWN,3000.0,EDUCATION,11.99,0.12527142141306163,4.0,587,No,1
24.0,female,Associate,71718.0,2,RENT,21500.0,MEDICAL,16.89,0.2997852700856131,3.0,620,No,1
24.0,female,Master,84999.0,0,RENT,21500.0,HOMEIMPROVEMENT,9.99,0.2529441522841445,3.0,701,No,1
24.0,female,High School,140396.0,4,RENT,21500.0,EDUCATION,15.33,0.15313826604746575,3.0,572,Yes,0
25.0,male,High School,73404.0,4,RENT,21450.0,EDUCATION,7.29,0.2922184077162008,4.0,671,No,1
25.0,male,Bachelor,62422.0,4,RENT,21250.0,VENTURE,6.91,0.3404248502130659,2.0,588,No,1
22.0,male,Bachelor,23993.0,1,MORTGAGE,5000.0,DEBTCONSOLIDATION,14.17,0.2083941149501938,2.0,691,No,1
22.0,male,High School,64732.0,0,RENT,21250.0,MEDICAL,10.25,0.3282765865414324,3.0,645,No,1
24.0,male,Bachelor,68154.0,2,RENT,21250.0,VENTURE,15.95,0.3117938785691229,3.0,672,No,1
24.0,female,Associate,79138.0,2,RENT,21250.0,EDUCATION,15.95,0.2685182845156562,4.0,650,No,1
22.0,male,Associate,23888.0,0,MORTGAGE,1400.0,HOMEIMPROVEMENT,14.91,0.058606831882116545,4.0,535,No,1
23.0,male,Associate,24013.0,0,MORTGAGE,3000.0,MEDICAL,11.01,0.12493232832215884,4.0,604,No,1
25.0,female,Associate,24121.0,1,OWN,1000.0,VENTURE,11.01,0.0414576510094938,3.0,612,Yes,0
23.0,male,High School,76364.0,0,RENT,21000.0,MEDICAL,11.36,0.27499869048242626,2.0,645,No,1
26.0,male,Bachelor,24297.0,3,MORTGAGE,4000.0,VENTURE,7.51,0.16462937811252418,4.0,678,No,1
22.0,female,Bachelor,71599.0,0,RENT,21000.0,PERSONAL,10.71,0.2933001857567843,3.0,644,No,1
22.0,male,Associate,85496.0,1,RENT,21000.0,PERSONAL,13.98,0.2456255263404136,4.0,614,Yes,0
26.0,female,Associate,79163.0,3,RENT,21000.0,DEBTCONSOLIDATION,14.09,0.26527544433636924,3.0,627,No,1
22.0,male,Master,90944.0,0,RENT,21000.0,EDUCATION,10.0,0.2309113300492611,3.0,523,Yes,0
22.0,female,Master,23973.0,0,MORTGAGE,5000.0,MEDICAL,15.33,0.20856797230217328,3.0,571,No,1
25.0,female,High School,75181.0,4,RENT,21000.0,MEDICAL,16.32,0.2793258935103284,4.0,546,No,1
24.0,female,Associate,95767.0,2,RENT,21000.0,HOMEIMPROVEMENT,7.9,0.21928221621226518,2.0,640,No,0
23.0,female,Master,96788.0,1,RENT,21000.0,MEDICAL,11.99,0.21696904574947307,3.0,648,Yes,0
24.0,male,High School,101708.0,2,RENT,21000.0,MEDICAL,10.75,0.20647343375152397,4.0,593,No,0
26.0,male,Associate,103023.0,4,RENT,21000.0,HOMEIMPROVEMENT,13.92,0.20383797792725897,3.0,658,Yes,0
22.0,male,Bachelor,113027.0,2,RENT,21000.0,EDUCATION,9.91,0.1857963141550249,3.0,701,No,0
26.0,female,Bachelor,98366.0,4,RENT,21000.0,EDUCATION,16.95,0.2134884004635748,3.0,702,No,1
26.0,male,Associate,117668.0,0,RENT,21000.0,EDUCATION,7.9,0.17846823265458747,3.0,711,Yes,0
26.0,male,Bachelor,117297.0,4,RENT,21000.0,EDUCATION,11.01,0.17903271183406225,3.0,570,Yes,0
25.0,female,Associate,120885.0,4,RENT,21000.0,PERSONAL,16.49,0.17371882367539396,3.0,637,No,1
26.0,female,Associate,24183.0,5,OTHER,7500.0,PERSONAL,11.97,0.3101352189554646,2.0,621,No,1
21.0,male,High School,23664.0,1,MORTGAGE,6250.0,DEBTCONSOLIDATION,6.17,0.26411426639621366,3.0,637,No,1
26.0,male,Associate,150692.0,7,RENT,21000.0,HOMEIMPROVEMENT,8.9,0.13935709924879888,2.0,534,No,0
25.0,female,High School,151100.0,2,RENT,21000.0,EDUCATION,12.99,0.13898080741230973,3.0,577,Yes,0
23.0,male,Bachelor,99197.0,1,RENT,20900.0,PERSONAL,12.69,0.2106918556004718,2.0,638,No,0
26.0,female,High School,61015.0,2,RENT,20500.0,VENTURE,7.49,0.33598295501106284,3.0,676,No,1
23.0,male,Associate,84845.0,0,RENT,20500.0,EDUCATION,13.16,0.24161706641522776,3.0,641,No,0
22.0,female,Associate,24872.0,0,OWN,2100.0,EDUCATION,8.38,0.08443229334191059,4.0,630,Yes,0
23.0,male,Bachelor,65613.0,0,RENT,20375.0,PERSONAL,7.49,0.3105329736485148,2.0,518,No,1
23.0,male,Associate,24766.0,0,OWN,5000.0,PERSONAL,11.71,0.2018896874747638,4.0,649,No,0
23.0,male,Associate,25168.0,0,MORTGAGE,6400.0,MEDICAL,10.65,0.25429116338207247,4.0,638,No,0
26.0,male,Bachelor,25012.0,3,MORTGAGE,4800.0,MEDICAL,5.99,0.19190788421557653,3.0,682,Yes,0
25.0,male,Bachelor,25295.0,3,OWN,5650.0,PERSONAL,15.99,0.2233643012453054,2.0,637,Yes,0
23.0,female,Associate,24930.0,0,MORTGAGE,3625.0,EDUCATION,11.01,0.14540713999197755,3.0,662,Yes,0
23.0,female,Bachelor,25141.0,0,OWN,1200.0,MEDICAL,7.49,0.047730798297601525,3.0,700,No,0
24.0,male,Associate,56744.0,0,RENT,20000.0,EDUCATION,10.62,0.35246017200056395,2.0,582,No,1
22.0,male,Associate,58440.0,0,RENT,20000.0,VENTURE,10.65,0.34223134839151265,3.0,656,No,1
22.0,male,High School,58859.0,1,RENT,20000.0,VENTURE,11.36,0.3397951035525578,4.0,672,No,1
22.0,female,Associate,24521.0,0,OWN,7500.0,EDUCATION,5.79,0.30586028302271523,4.0,612,Yes,0
23.0,female,Master,60235.0,4,RENT,20000.0,EDUCATION,6.54,0.3320328712542542,4.0,615,No,1
25.0,female,Master,25654.0,6,MORTGAGE,4000.0,VENTURE,5.79,0.15592110392141575,2.0,725,No,0
25.0,female,Bachelor,61114.0,1,RENT,20000.0,DEBTCONSOLIDATION,7.49,0.3272572569296724,3.0,639,No,1
25.0,female,Bachelor,60990.0,1,RENT,20000.0,EDUCATION,13.43,0.3279226102639777,2.0,691,No,1
22.0,female,Bachelor,61072.0,0,RENT,20000.0,DEBTCONSOLIDATION,13.22,0.32748231595493843,2.0,681,No,1
22.0,male,Associate,25229.0,1,OWN,5000.0,VENTURE,14.72,0.19818462880019025,3.0,604,Yes,0
24.0,male,Bachelor,61918.0,2,RENT,20000.0,MEDICAL,11.01,0.3230078490907329,3.0,672,No,1
25.0,female,Bachelor,62299.0,3,RENT,20000.0,HOMEIMPROVEMENT,11.48,0.32103244032809514,3.0,680,No,1
24.0,male,Master,62192.0,3,RENT,20000.0,VENTURE,10.38,0.32158476974530487,3.0,640,No,1
22.0,male,Bachelor,62045.0,0,RENT,20000.0,EDUCATION,12.53,0.3223466838584898,3.0,629,No,1
22.0,male,Bachelor,62350.0,1,RENT,20000.0,EDUCATION,13.47,0.32076984763432237,2.0,677,No,1
24.0,female,Associate,62508.0,0,RENT,20000.0,VENTURE,12.21,0.319959045242209,4.0,571,No,1
25.0,male,High School,63607.0,2,RENT,20000.0,VENTURE,10.99,0.3144308016413288,3.0,647,No,1
25.0,male,Associate,63921.0,3,RENT,20000.0,EDUCATION,11.36,0.3128862189264874,4.0,568,No,1
22.0,male,Bachelor,56273.0,0,RENT,20000.0,DEBTCONSOLIDATION,16.0,0.35541023226058677,4.0,700,No,1
26.0,male,Bachelor,24569.0,4,MORTGAGE,1500.0,PERSONAL,7.74,0.06105254589116366,3.0,570,Yes,0
24.0,male,High School,63481.0,3,RENT,20000.0,EDUCATION,15.65,0.31505489831603156,2.0,633,No,1
25.0,male,High School,56451.0,0,RENT,20000.0,DEBTCONSOLIDATION,11.78,0.3542895608580893,2.0,646,No,1
24.0,female,Associate,63897.0,0,RENT,20000.0,HOMEIMPROVEMENT,11.01,0.3130037403946977,3.0,614,No,1
22.0,female,High School,57193.0,0,RENT,20000.0,MEDICAL,16.77,0.34969314426590664,3.0,532,No,1
22.0,male,Associate,65874.0,0,RENT,20000.0,EDUCATION,9.91,0.30360992197225006,4.0,617,No,1
23.0,female,Associate,58705.0,3,RENT,20000.0,MEDICAL,15.65,0.3406864832637765,4.0,603,No,1
23.0,male,High School,58236.0,2,RENT,20000.0,MEDICAL,14.96,0.343430180644275,3.0,588,No,1
23.0,male,Associate,65738.0,0,RENT,20000.0,VENTURE,11.83,0.30423803583924064,4.0,668,No,1
24.0,male,High School,59765.0,2,RENT,20000.0,MEDICAL,11.66,0.3346440224211495,4.0,643,No,1
26.0,male,High School,67019.0,2,RENT,20000.0,EDUCATION,12.18,0.29842283531535835,4.0,639,No,1
24.0,female,Associate,67265.0,2,RENT,20000.0,HOMEIMPROVEMENT,6.91,0.29733145023414853,2.0,525,No,1
25.0,male,Bachelor,66906.0,3,RENT,20000.0,DEBTCONSOLIDATION,6.91,0.29892685259916896,3.0,666,No,1
25.0,male,High School,67174.0,2,RENT,20000.0,VENTURE,9.88,0.2977342424152202,4.0,646,No,1
23.0,male,Associate,66844.0,0,RENT,20000.0,DEBTCONSOLIDATION,12.53,0.2992041170486506,2.0,655,No,1
25.0,female,Associate,67482.0,6,RENT,20000.0,VENTURE,11.01,0.2963753297175543,4.0,682,No,1
23.0,male,High School,24853.0,0,MORTGAGE,7125.0,PERSONAL,6.99,0.2866857119864805,2.0,631,Yes,0
23.0,male,Master,69387.0,2,RENT,20000.0,EDUCATION,16.89,0.2882384308299826,2.0,600,No,1
22.0,female,High School,62379.0,0,RENT,20000.0,PERSONAL,17.49,0.3206207217172446,4.0,641,No,1
23.0,male,Bachelor,24853.0,0,MORTGAGE,2500.0,EDUCATION,16.82,0.10059147788999316,2.0,524,Yes,0
26.0,male,Associate,24751.0,2,MORTGAGE,3600.0,HOMEIMPROVEMENT,11.01,0.14544866874065696,2.0,669,Yes,0
22.0,female,Associate,70529.0,1,RENT,20000.0,DEBTCONSOLIDATION,13.11,0.28357129691332644,2.0,593,No,1
23.0,female,Associate,71255.0,2,RENT,20000.0,DEBTCONSOLIDATION,7.66,0.2806820573994807,3.0,654,No,1
26.0,male,Master,71761.0,3,RENT,20000.0,MEDICAL,6.17,0.2787029166260225,3.0,665,No,1
26.0,male,Bachelor,64550.0,8,RENT,20000.0,PERSONAL,16.35,0.30983733539891556,4.0,649,No,1
23.0,female,Bachelor,72969.0,1,RENT,20000.0,MEDICAL,7.9,0.2740889966972276,2.0,579,No,1
24.0,female,Bachelor,66060.0,4,RENT,20000.0,VENTURE,16.49,0.3027550711474417,2.0,671,No,1
21.0,male,Bachelor,25666.0,0,OWN,3550.0,VENTURE,11.01,0.13831528091638745,4.0,693,Yes,0
26.0,male,Associate,25229.0,3,MORTGAGE,7000.0,HOMEIMPROVEMENT,8.0,0.2774584803202664,2.0,626,Yes,0
24.0,female,Master,72762.0,6,RENT,20000.0,PERSONAL,10.99,0.27486875017179296,2.0,677,No,1
24.0,male,Master,25451.0,3,OWN,7750.0,VENTURE,6.91,0.30450669914738127,3.0,594,No,0
25.0,female,Bachelor,65742.0,1,RENT,20000.0,PERSONAL,8.88,0.30421952480910225,3.0,592,No,1
24.0,male,Bachelor,73352.0,1,RENT,20000.0,VENTURE,11.01,0.2726578689060966,4.0,583,No,1
